time,Without whole patterns,With whole patterns,With whole patterns under DDoS,With whole patterns under Brute-force,With whole patterns under SSH-MITM
1,1.41E+00,4.40E+00,3.52E+00,4.18E+00,4.02E+00
2,1.21E+00,4.23E+00,4.80E+01,3.66E+00,2.82E+00
3,1.21E+00,4.19E+00,3.52E+00,3.66E+00,2.73E+00
4,2.22E+00,4.72E+00,4.76E+01,3.14E+00,2.77E+00
5,1.29E+00,4.15E+00,2.71E+00,3.02E+00,5.47E+00
6,1.61E+00,4.19E+00,7.99E+00,3.06E+00,3.14E+00
7,1.33E+00,4.19E+00,3.66E+00,3.42E+00,3.06E+00
8,1.37E+00,3.99E+00,8.13E+00,4.14E+00,4.06E+00
9,1.45E+00,4.72E+00,3.93E+00,3.54E+00,6.11E+00
10,1.21E+00,4.27E+00,9.49E+00,2.90E+00,4.30E+00
11,1.25E+00,4.15E+00,2.30E+00,4.06E+00,4.30E+00
12,1.21E+00,4.76E+00,4.08E+01,3.42E+00,4.30E+00
13,9.27E-01,4.44E+00,4.74E+00,3.06E+00,4.34E+00
14,1.33E+00,4.19E+00,1.29E+01,4.06E+00,3.06E+00
15,1.77E+00,4.80E+00,7.99E+00,2.98E+00,1.17E+01
16,1.21E+00,4.44E+00,4.20E+00,6.92E+00,2.77E+00
17,1.21E+00,4.44E+00,1.76E+01,3.62E+00,7.08E+00
18,1.17E+00,4.44E+00,4.20E+00,3.14E+00,3.18E+00
19,8.47E-01,3.99E+00,4.01E+01,1.42E+01,1.19E+01
20,1.25E+00,4.44E+00,5.96E+00,3.66E+00,3.62E+00
21,1.17E+00,4.19E+00,2.44E+01,4.10E+00,4.14E+00
22,1.13E+00,4.44E+00,2.57E+00,3.70E+00,4.18E+00
23,1.01E+00,4.44E+00,1.34E+01,3.62E+00,4.18E+00
24,9.27E-01,4.44E+00,3.66E+00,3.62E+00,4.18E+00
25,1.01E+00,4.44E+00,3.83E+01,2.98E+00,4.18E+00
26,1.09E+00,4.44E+00,3.52E+00,3.02E+00,4.18E+00
27,7.66E-01,4.44E+00,1.72E+01,4.91E+00,4.18E+00
28,6.85E-01,4.56E+00,2.71E+00,3.06E+00,1.48E+01
29,8.47E-01,4.27E+00,2.95E+01,1.49E+01,3.18E+00
30,1.13E+00,4.48E+00,4.74E+00,2.98E+00,3.14E+00
31,1.29E+00,4.27E+00,4.88E+01,3.42E+00,3.10E+00
32,1.41E+00,4.31E+00,3.79E+00,3.50E+00,3.10E+00
33,1.13E+00,4.48E+00,1.67E+01,3.02E+00,3.66E+00
34,1.33E+00,4.48E+00,4.34E+00,5.15E+00,3.62E+00
35,1.29E+00,4.52E+00,2.30E+01,4.26E+00,5.07E+00
36,1.21E+00,4.56E+00,3.39E+00,6.31E+00,4.18E+00
37,1.13E+00,4.60E+00,1.88E+01,5.43E+00,7.96E+00
38,1.13E+00,4.35E+00,4.34E+00,3.66E+00,2.90E+00
39,1.05E+00,4.27E+00,2.18E+01,2.86E+00,4.10E+00
40,1.13E+00,4.44E+00,2.71E+00,4.14E+00,2.21E+00
41,1.17E+00,4.60E+00,1.29E+01,3.62E+00,3.50E+00
42,1.21E+00,4.27E+00,3.52E+00,2.94E+00,2.45E+00
43,1.21E+00,4.60E+00,2.62E+01,3.62E+00,4.10E+00
44,1.09E+00,4.64E+00,5.42E+00,2.98E+00,4.18E+00
45,1.09E+00,4.68E+00,2.78E+01,3.98E+00,3.82E+00
46,1.13E+00,4.68E+00,3.25E+00,4.22E+00,3.66E+00
47,1.17E+00,4.19E+00,3.54E+01,4.22E+00,3.66E+00
48,1.21E+00,4.48E+00,7.59E+00,3.70E+00,3.10E+00
49,1.21E+00,4.27E+00,3.37E+01,3.66E+00,3.62E+00
50,1.21E+00,5.00E+00,3.25E+00,3.66E+00,3.62E+00
51,1.21E+00,4.52E+00,4.53E+01,3.06E+00,3.58E+00
52,1.21E+00,4.44E+00,4.88E+00,3.62E+00,3.02E+00
53,1.21E+00,4.96E+00,4.47E+01,3.66E+00,3.06E+00
54,1.21E+00,4.48E+00,2.98E+00,3.58E+00,3.58E+00
55,1.33E+00,4.72E+00,4.66E+01,3.54E+00,3.70E+00
56,1.37E+00,4.35E+00,7.45E+00,3.14E+00,1.01E+01
57,1.45E+00,4.68E+00,2.87E+01,3.06E+00,2.98E+00
58,1.45E+00,4.76E+00,5.42E+00,3.58E+00,3.62E+00
59,1.33E+00,4.84E+00,2.02E+01,3.66E+00,3.62E+00
60,1.25E+00,4.92E+00,5.42E+00,3.66E+00,3.58E+00
61,1.09E+00,4.72E+00,2.09E+01,4.18E+00,3.58E+00
62,1.05E+00,4.64E+00,5.15E+00,2.86E+00,3.10E+00
63,9.68E-01,5.12E+00,3.17E+01,3.42E+00,8.85E+00
64,1.05E+00,4.68E+00,4.34E+00,3.54E+00,2.90E+00
65,1.13E+00,4.68E+00,1.02E+01,2.86E+00,3.54E+00
66,1.21E+00,5.16E+00,4.61E+00,4.06E+00,3.58E+00
67,1.29E+00,4.84E+00,9.49E+00,3.02E+00,1.49E+01
68,1.37E+00,5.12E+00,3.79E+00,3.58E+00,2.94E+00
69,1.37E+00,4.40E+00,1.65E+01,3.62E+00,4.14E+00
70,1.37E+00,4.64E+00,1.27E+01,4.14E+00,4.18E+00
71,1.29E+00,5.48E+00,1.06E+01,2.98E+00,3.06E+00
72,1.21E+00,5.52E+00,5.42E+00,4.26E+00,6.55E+00
73,1.29E+00,5.73E+00,2.02E+01,4.26E+00,3.14E+00
74,1.25E+00,5.40E+00,5.42E+00,3.14E+00,1.48E+01
75,1.25E+00,4.96E+00,2.09E+01,6.35E+00,3.06E+00
76,1.21E+00,4.68E+00,5.15E+00,3.02E+00,3.66E+00
77,1.21E+00,5.40E+00,2.78E+01,9.69E+00,3.66E+00
78,1.17E+00,4.96E+00,3.25E+00,2.86E+00,4.14E+00
79,1.13E+00,4.84E+00,3.54E+01,3.42E+00,3.06E+00
80,1.13E+00,4.76E+00,7.59E+00,3.46E+00,4.91E+00
81,1.61E+00,4.64E+00,3.37E+01,6.80E+00,3.78E+00
82,7.26E-01,4.52E+00,3.25E+00,3.34E+00,1.43E+01
83,1.17E+00,4.48E+00,4.53E+01,4.95E+00,3.54E+00
84,1.69E+00,4.68E+00,4.88E+00,5.11E+00,3.62E+00
85,1.37E+00,4.80E+00,4.47E+01,3.78E+00,3.66E+00
86,1.09E+00,5.00E+00,2.98E+00,1.31E+01,3.66E+00
87,1.45E+00,5.04E+00,4.66E+01,3.62E+00,3.58E+00
88,1.13E+00,5.20E+00,7.45E+00,3.10E+00,5.91E+00
,,,,,
,,,,,
